YMCC,fuelups,kml
2004 BMW F650CS,Added Apr 2011 &bull; 31 fuel-ups Property of iav8 . 3.5Avg L/100km.,3.5
2004 BMW F650CS,Added Oct 2011 &bull; 177 fuel-ups Property of motoRik . 4.5Avg L/100km.,4.5
2004 BMW F650CS,Added Aug 2011 &bull; 7 fuel-ups Property of Bluepeppo . 4.0Avg L/100km.,4
2004 BMW F650CS,Added Jan 2009 &bull; 3 fuel-ups Property of StuM . 4.8Avg L/100km.,4.8
2004 BMW F650CS,Added Aug 2012 Property of Phantie . N/AAvg L/100km.,N/A
2003 BMW F650CS,Added Feb 2012 &bull; 38 fuel-ups Property of Win . 4.8Avg L/100km.,4.8
2003 BMW F650CS,Added Aug 2011 &bull; 88 fuel-ups Property of xamper . 3.7Avg L/100km.,3.7
2003 BMW F650CS,Added Jun 2012 &bull; 193 fuel-ups Property of alvaro84 . 3.0Avg L/100km.,3
2003 BMW F650CS,Added Dec 2012 &bull; 13 fuel-ups Property of karatekempo3 . 5.3Avg L/100km.,5.3
2003 BMW F650CS,Added Jan 2013 &bull; 2 fuel-ups Property of howelljd . 3.9Avg L/100km.,3.9
2003 BMW F650CS,Added Nov 2011 &bull; 54 fuel-ups Property of jcfoley . 4.5Avg L/100km.,4.5
2003 BMW F650CS,Added Jun 2010 &bull; 19 fuel-ups Property of LJN . 5.4Avg L/100km.,5.4
2003 BMW F650CS,Added Aug 2009 Property of Litguy . N/AAvg L/100km.,N/A
2003 BMW F650CS,Added Mar 2013 Property of jaxciz . N/AAvg L/100km.,N/A
2002 BMW F650CS,Added Jul 2012 &bull; 7 fuel-ups Property of newmann . 4.3Avg L/100km.,4.3
2002 BMW F650CS,Added Aug 2011 &bull; 18 fuel-ups Property of zecabeloso . 4.7Avg L/100km.,4.7
2002 BMW F650CS,Added Apr 2012 &bull; 37 fuel-ups Property of tubular . 4.1Avg L/100km.,4.1
2002 BMW F650CS,Added Apr 2013 &bull; 1 fuel-up Property of stilkus . 4.6Avg L/100km.,4.6
2001 BMW F650CS,Added Aug 2010 &bull; 12 fuel-ups Property of ratcliffe . 5.2Avg L/100km.,5.2
2012 BMW F650GS Twin,Added Jun 2012 &bull; 2 fuel-ups Property of Blueboy . 5.4Avg L/100km.,5.4
2012 BMW F650GS Twin,Added Feb 2013 Property of JD10 . N/AAvg L/100km.,N/A
2012 BMW F650GS Twin,Added Feb 2013 &bull; 2 fuel-ups Property of FJgino . 4.0Avg L/100km.,4
2012 BMW F650GS Twin,Added Sep 2012 &bull; 19 fuel-ups Property of cadellatorre . 4.7Avg L/100km.,4.7
2011 BMW F650GS Twin,Added Aug 2011 &bull; 56 fuel-ups Property of smrozews . 4.7Avg L/100km.,4.7
2011 BMW F650GS Twin,Added Mar 2012 &bull; 23 fuel-ups Property of Earwig . 4.2Avg L/100km.,4.2
2011 BMW F650GS Twin,Added Jun 2011 &bull; 56 fuel-ups Property of mfm . 3.9Avg L/100km.,3.9
2011 BMW F650GS Twin,Added Dec 2011 Property of Devo . N/AAvg L/100km.,N/A
2011 BMW F650GS Twin,Added Aug 2011 &bull; 9 fuel-ups Property of GreatDanes . 3.9Avg L/100km.,3.9
2011 BMW F650GS Twin,Added Feb 2013 Property of Patagonicus . N/AAvg L/100km.,N/A
2011 BMW F650GS Twin,Added Mar 2012 Property of arendas . N/AAvg L/100km.,N/A
2010 BMW F650GS Twin,Added Aug 2012 &bull; 23 fuel-ups Property of minton82 . 4.5Avg L/100km.,4.5
2010 BMW F650GS Twin,Added May 2011 &bull; 49 fuel-ups Property of JohnHardesty . 4.4Avg L/100km.,4.4
2010 BMW F650GS Twin,Added Sep 2011 &bull; 84 fuel-ups Property of jossvw . 4.9Avg L/100km.,4.9
2010 BMW F650GS Twin,Added May 2011 &bull; 25 fuel-ups Property of koliverson . 4.0Avg L/100km.,4
2010 BMW F650GS Twin,Added Feb 2013 Property of onrtr . N/AAvg L/100km.,N/A
2010 BMW F650GS Twin,Added Jun 2012 &bull; 110 fuel-ups Property of Kale . 4.0Avg L/100km.,4
2010 BMW F650GS Twin,Added Nov 2011 &bull; 4 fuel-ups Property of Kenzie . 4.0Avg L/100km.,4
2010 BMW F650GS Twin,Added Jun 2011 &bull; 16 fuel-ups Property of sprange . 4.7Avg L/100km.,4.7
2010 BMW F650GS Twin,Added Apr 2010 &bull; 100 fuel-ups Property of wlm2048. 4.9Avg L/100km.,4.9
2010 BMW F650GS Twin,Added Jun 2010 &bull; 1 fuel-up Property of ecrampton . 4.0Avg L/100km.,4
2010 BMW F650GS Twin,Added Mar 2013 Property of ken7878 . N/AAvg L/100km.,N/A
2009 BMW F650GS Twin,Added Nov 2011 &bull; 69 fuel-ups Property of AntonD69 . 4.4Avg L/100km.,4.4
2009 BMW F650GS Twin,Added Jun 2011 &bull; 76 fuel-ups Property of motardes04 . 4.2Avg L/100km.,4.2
2009 BMW F650GS Twin,Added Jun 2009 &bull; 37 fuel-ups Property of Mistergizmo. 3.9Avg L/100km.,3.9
2009 BMW F650GS Twin,Added Oct 2008 &bull; 203 fuel-ups Property of Brendan . 4.1Avg L/100km.,4.1
2009 BMW F650GS Twin,Added Jun 2009 &bull; 6 fuel-ups Property of Bomberman . 4.3Avg L/100km.,4.3
2009 BMW F650GS Twin,Added Oct 2008 &bull; 1 fuel-up Property of my650gs2 . N/AAvg L/100km.,N/A
2009 BMW F650GS Twin,Added Mar 2012 &bull; 53 fuel-ups Property of vuganeja . 3.9Avg L/100km.,3.9
2009 BMW F650GS Twin,Added Sep 2011 &bull; 7 fuel-ups Property of smoothdurban . 4.2Avg L/100km.,4.2
2009 BMW F650GS Twin,Added Apr 2009 &bull; 1 fuel-up Property of ranalli. 4.9Avg L/100km.,4.9
2009 BMW F650GS Twin,Added Oct 2008 &bull; 2 fuel-ups Property of dave92029. 3.9Avg L/100km.,3.9
2009 BMW F650GS Twin,Added Feb 2010 Property of UtilityBiscuit. N/AAvg L/100km.,N/A
2009 BMW F650GS Twin,Added Nov 2008 Property of krowbar. N/AAvg L/100km.,N/A
2009 BMW F650GS Twin,Added Aug 2010 Property of Pleschutznigs . N/AAvg L/100km.,N/A
2009 BMW F650GS Twin,Added May 2010 Property of prodigyxl . N/AAvg L/100km.,N/A
2008 BMW F650GS Twin,Added Oct 2008 &bull; 33 fuel-ups Property of HTWB . 4.0Avg L/100km.,4
2008 BMW F650GS Twin,Added Feb 2012 &bull; 7 fuel-ups Property of ferrol . 4.4Avg L/100km.,4.4
2008 BMW F650GS Twin,Added Jan 2012 &bull; 1 fuel-up Property of pinballwizard . 4.3Avg L/100km.,4.3
2008 BMW F650GS Twin,Added Aug 2011 &bull; 2 fuel-ups Property of AndreDuPreez . 4.0Avg L/100km.,4
2008 BMW F650GS Twin,Added Jun 2009 &bull; 3 fuel-ups Property of RMB . 3.4Avg L/100km.,3.4
2008 BMW F650GS Twin,Added Oct 2008 &bull; 5 fuel-ups Property of BlackieF650GS. 5.0Avg L/100km.,5
2008 BMW F650GS Twin,Added Mar 2013 Property of HermanW . N/AAvg L/100km.,N/A
2006 BMW F650GS Twin,Added Jun 2011 Property of dewald . N/AAvg L/100km.,N/A
2004 BMW F650GS Twin,Added Mar 2013 &bull; 5 fuel-ups Property of slu . 5.2Avg L/100km.,5.2
1999 BMW F650ST,Added Jun 2012 &bull; 28 fuel-ups Property of MoeST . 6.4Avg L/100km.,6.4
1999 BMW F650ST,Added Apr 2010 &bull; 45 fuel-ups Property of batou . 5.8Avg L/100km.,5.8
1999 BMW F650ST,Added Oct 2012 Property of KaHOnas . N/AAvg L/100km.,N/A
1998 BMW F650ST,Added Jun 2011 &bull; 54 fuel-ups Property of capeche . 6.2Avg L/100km.,6.2
1998 BMW F650ST,Added Oct 2012 &bull; 1 fuel-up Property of adi003 . N/AAvg L/100km.,N/A
1998 BMW F650ST,Added Aug 2011 &bull; 13 fuel-ups Property of ursinescootician . 5.4Avg L/100km.,5.4
1997 BMW F650ST,Added Jul 2009 &bull; 27 fuel-ups Property of JamesAquilina . 8.1Avg L/100km.,8.1
1997 BMW F650ST,Added Nov 2012 &bull; 8 fuel-ups Property of alexpapad . 6.7Avg L/100km.,6.7
1997 BMW F650ST,Added Feb 2009 &bull; 5 fuel-ups Property of TMB . 5.1Avg L/100km.,5.1
1996 BMW F650ST,Added Nov 2012 &bull; 11 fuel-ups Property of Tetturu . 5.7Avg L/100km.,5.7
1995 BMW F650ST,Added Jul 2012 Property of l0wiq . N/AAvg L/100km.,N/A
2013 BMW F800GS,Added Apr 2013 &bull; 1 fuel-up Property of RangeRover . N/AAvg L/100km.,N/A
2013 BMW F800GS,Added Nov 2012 &bull; 14 fuel-ups Property of WagnerBSB . 4.6Avg L/100km.,4.6
2013 BMW F800GS,Added Apr 2013 &bull; 2 fuel-ups Property of PxP . 4.4Avg L/100km.,4.4
2013 BMW F800GS,Added Dec 2012 &bull; 1 fuel-up Property of DrunkenCrow . N/AAvg L/100km.,N/A
2013 BMW F800GS,Added Sep 2012 Property of Merle . N/AAvg L/100km.,N/A
2012 BMW F800GS,Added Oct 2012 &bull; 24 fuel-ups Property of rrvanzyl . 4.2Avg L/100km.,4.2
2012 BMW F800GS,Added May 2012 &bull; 79 fuel-ups Property of DavidEv . 4.9Avg L/100km.,4.9
2012 BMW F800GS,Added Jul 2012 &bull; 5 fuel-ups Property of RUE . 5.1Avg L/100km.,5.1
2012 BMW F800GS,Added Mar 2012 &bull; 43 fuel-ups Property of ITALO . 4.7Avg L/100km.,4.7
2012 BMW F800GS,Added May 2012 &bull; 37 fuel-ups Property of GBTW . 5.5Avg L/100km.,5.5
2012 BMW F800GS,Added Dec 2012 &bull; 1 fuel-up Property of coledude . N/AAvg L/100km.,N/A
2012 BMW F800GS,Added Jan 2012 &bull; 16 fuel-ups Property of Cityboy . 4.9Avg L/100km.,4.9
2012 BMW F800GS,Added Aug 2012 &bull; 2 fuel-ups Property of kendalla59 . 2.6Avg L/100km.,2.6
2012 BMW F800GS,Added Mar 2012 &bull; 135 fuel-ups Property of xpdishun . 4.3Avg L/100km.,4.3
2012 BMW F800GS,Added Feb 2012 &bull; 8 fuel-ups Property of guidantas . 5.5Avg L/100km.,5.5
2012 BMW F800GS,Added Sep 2012 Property of Voetpomp . N/AAvg L/100km.,N/A
2012 BMW F800GS,Added Jun 2012 Property of PaulG86 . N/AAvg L/100km.,N/A
2011 BMW F800GS,Added Apr 2012 &bull; 59 fuel-ups Property of fbakkes . 5.6Avg L/100km.,5.6
2011 BMW F800GS,Added Feb 2012 &bull; 75 fuel-ups Property of luv2ride . 5.0Avg L/100km.,5
2011 BMW F800GS,Added Sep 2011 &bull; 59 fuel-ups Property of jjunner . 4.6Avg L/100km.,4.6
2011 BMW F800GS,Added Nov 2012 &bull; 24 fuel-ups Property of indylead . 5.6Avg L/100km.,5.6
2011 BMW F800GS,Added Nov 2011 &bull; 74 fuel-ups Property of DaveT . 5.1Avg L/100km.,5.1
2011 BMW F800GS,Added Oct 2011 &bull; 33 fuel-ups Property of Steen . 4.4Avg L/100km.,4.4
2011 BMW F800GS,Added Feb 2012 &bull; 104 fuel-ups Property of WagnerBSB . 4.9Avg L/100km.,4.9
2011 BMW F800GS,Added Apr 2012 &bull; 15 fuel-ups Property of nomadb . 4.7Avg L/100km.,4.7
2011 BMW F800GS,Added Jul 2011 Property of Balto . N/AAvg L/100km.,N/A
2011 BMW F800GS,Added Feb 2013 &bull; 3 fuel-ups Property of wiekus . 4.7Avg L/100km.,4.7
2011 BMW F800GS,Added May 2012 &bull; 22 fuel-ups Property of pieterodendaal . 4.4Avg L/100km.,4.4
2011 BMW F800GS,Added Jan 2013 &bull; 4 fuel-ups Property of Scapadu . 4.0Avg L/100km.,4
2011 BMW F800GS,Added Jun 2012 &bull; 16 fuel-ups Property of 2Stamp . 4.7Avg L/100km.,4.7
2011 BMW F800GS,Added Jun 2012 &bull; 21 fuel-ups Property of Enthusiast . 3.9Avg L/100km.,3.9
