"YMCC","fuelups","kml"
"2009 Aprilia SportCity One 125","Added Oct 2009 &bull; 12 fuel-ups Property of bartron3030 .","26.3"
"2009 Aprilia SportCity One 125","Added Aug 2009 &bull; 7 fuel-ups Property of YeahNo .","25.9"
"2009 Aprilia SportCity One 125","Added Jul 2009 &bull; 6 fuel-ups Property of 1SmileaD .","29.5"
"2006 Aprilia SportCity One 125","Added Apr 2012 &bull; 15 fuel-ups Property of weirdoku .","28.8"
"2006 Aprilia SportCity One 125","Added Nov 2010 Property of ggranas .","N/A"
"2005 Aprilia SportCity One 125","Added Oct 2011 Property of mytrenis .","N/A"
"2009 Aprilia SR50","Added Jun 2012 &bull; 2 fuel-ups Property of dobs .","34.1"
"2006 Aprilia SR50","Added Mar 2012 &bull; 10 fuel-ups Property of Perlice .","30.7"
"2003 Aprilia SR50","Added Oct 2012 &bull; 14 fuel-ups Property of Heidilala .","37.9"
"2007 Aprilia SR50 Racing Replica","Added Oct 2012 &bull; 2 fuel-ups Property of mfberman .","36.9"
"2003 Aprilia SR50 Racing Replica","Added Apr 2011 &bull; 13 fuel-ups Property of mfberman .","38.0"
"1999 Aprilia SR50 Racing Replica","Added Aug 2009 &bull; 3 fuel-ups Property of kdemas .","24.0"
"1998 Aprilia SR50 Racing Replica","Added Sep 2011 &bull; 5 fuel-ups Property of fontesrui .","27.8"
"2009 Aprilia SR50R Factory","Added May 2012 &bull; 5 fuel-ups Property of Snugg .","25.7"
"2009 Aprilia SR50R Factory","Added Sep 2008 &bull; 5 fuel-ups Property of jb.","38.5"
"2009 Aprilia SR50R Factory","Added Sep 2011 &bull; 5 fuel-ups Property of tony216 .","34.2"
"2009 Aprilia SR50R Factory","Added Aug 2008 &bull; 2 fuel-ups Property of jeffb.","41.0"
"2007 Aprilia SR50R Factory","Added Jun 2012 Property of Flalex .","N/A"
"2001 Aprilia SR50R Factory","Added May 2009 Property of emre .","N/A"
"1999 Aprilia SR50R Factory","Added Aug 2010 Property of paulannen .","N/A"
"2012 Aprilia SRV 850 ABS ATC","Added Jul 2012 &bull; 15 fuel-ups Property of kemmo .","16.7"
"2009 Aprilia SXV 550","Added Aug 2011 &bull; 11 fuel-ups Property of swerver .","9.8"
"2009 Aprilia Tuono","Added Aug 2012 &bull; 23 fuel-ups Property of g00gl3it .","15.0"
"2008 Aprilia Tuono","Added Jul 2012 &bull; 3 fuel-ups Property of estebon .","17.5"
"2008 Aprilia Tuono","Added Jan 2010 &bull; 31 fuel-ups Property of MikeTheBike .","13.1"
"2008 Aprilia Tuono","Added Sep 2012 &bull; 7 fuel-ups Property of OzPedro .","13.9"
"2008 Aprilia Tuono","Added Aug 2012 &bull; 5 fuel-ups Property of DefyInertia .","13.6"
"2008 Aprilia Tuono","Added May 2012 &bull; 1 fuel-up Property of Shaykie .","N/A"
"2007 Aprilia Tuono","Added Jul 2010 &bull; 25 fuel-ups Property of bmarusiak .","11.0"
"2007 Aprilia Tuono","Added Jul 2011 &bull; 10 fuel-ups Property of 07Aprilia .","19.2"
"2007 Aprilia Tuono","Added May 2011 &bull; 5 fuel-ups Property of SUPERSTARDJ01 .","12.9"
