Year,Make,Model,fuelups,user,KML,MPG,LP100KM,CC,Style,url
2009,Aprilia,Scarabeo 500ie,6,ButtPlugg,28.1,66.1,3.56,500,,http://www.fuelly.com/driver/ButtPlugg/
2011,Aprilia,Shiver 750 SL,20,shiver750,16,37.6,6.25,750,,http://www.fuelly.com/driver/shiver750/
2009,Aprilia,Shiver 750 SL,13,Cammie45,16.8,39.5,5.95,750,,http://www.fuelly.com/driver/Cammie45/
2009,Aprilia,Shiver 750 SL,3,tmcguire47,16.8,39.5,5.95,750,,http://www.fuelly.com/driver/tmcguire47/
2011,Aprilia,Shiver 750 SL,3,bumblebee8311,17.3,40.7,5.78,750,,http://www.fuelly.com/driver/bumblebee8311/
2009,Aprilia,Shiver 750 SL,4,VTX,17.7,41.6,5.65,750,,http://www.fuelly.com/driver/VTX/
2011,Aprilia,Shiver 750 SL,4,mattonbass,19.9,46.8,5.03,750,,http://www.fuelly.com/driver/mattonbass/
2003,Aprilia,SL 1000 FALCO,100,berg,11.2,26.3,8.93,1000,,http://www.fuelly.com/driver/berg/
2004,Aprilia,SL 1000 FALCO,30,dyzio,14,32.9,7.14,1000,,http://www.fuelly.com/driver/dyzio/
2003,Aprilia,SL 1000 FALCO,41,tbirdfiend281,14,32.9,7.14,1000,,http://www.fuelly.com/driver/tbirdfiend281/
2009,Aprilia,sportcity 200,47,gtse,24.1,56.7,4.15,200,,http://www.fuelly.com/driver/gtse/
2007,Aprilia,sportcity 200,23,malliemcg,28,65.9,3.57,200,,http://www.fuelly.com/driver/malliemcg/
2006,Aprilia,sportcity 200,38,carless,33.7,79.3,2.97,200,,http://www.fuelly.com/driver/carless/
2009,Aprilia,SportCity 250ie,1,RobbieC,21.6,50.8,4.63,250,,http://www.fuelly.com/driver/RobbieC/
2009,Aprilia,SportCity 250ie,23,supersonicf111,25.1,59.0,3.98,250,,http://www.fuelly.com/driver/supersonicf111/
2009,Aprilia,SportCity 250ie,2,ko6zl,26,61.2,3.85,250,,http://www.fuelly.com/driver/ko6zl/
2007,Aprilia,SportCity 250ie,32,stclairtr,27,63.5,3.70,250,,http://www.fuelly.com/driver/stclairtr/
2009,Aprilia,SportCity 250ie,17,sinosoul,29,68.2,3.45,250,,http://www.fuelly.com/driver/sinosoul/
2007,Aprilia,SportCity 250ie,23,DarthMalaguti,29.2,68.7,3.42,250,,http://www.fuelly.com/driver/DarthMalaguti/
2009,Aprilia,SportCity 250ie,41,crackhead,29.9,70.3,3.34,250,,http://www.fuelly.com/driver/crackhead/
2009,Aprilia,SportCity 250ie,6,EricC,30.3,71.3,3.30,250,,http://www.fuelly.com/driver/EricC/
2009,Aprilia,SportCity 250ie,4,spacetiger,31.1,73.2,3.22,250,,http://www.fuelly.com/driver/spacetiger/
2007,Aprilia,SportCity 250ie,23,Itimnapusa,33.1,77.9,3.02,250,,http://www.fuelly.com/driver/Itimnapusa/
2011,Aprilia,Sportcity Cube 300,12,Lanyu,24.8,58.3,4.03,300,,http://www.fuelly.com/driver/Lanyu/
2012,Aprilia,Sportcity Cube 300,8,GTme,30.6,72.0,3.27,300,,http://www.fuelly.com/driver/GTme/
2009,Aprilia,SportCity One 125,7,YeahNo,25.9,60.9,3.86,125,,http://www.fuelly.com/driver/YeahNo/
2009,Aprilia,SportCity One 125,12,bartron3030,26.3,61.9,3.80,125,,http://www.fuelly.com/driver/bartron3030/
2006,Aprilia,SportCity One 125,15,weirdoku,28.8,67.7,3.47,125,,http://www.fuelly.com/driver/weirdoku/
2009,Aprilia,SportCity One 125,6,1SmileaD,29.5,69.4,3.39,125,,http://www.fuelly.com/driver/1SmileaD/
2006,Aprilia,SR50,10,Perlice,30.7,72.2,3.26,50,,http://www.fuelly.com/driver/Perlice/
2009,Aprilia,SR50,2,dobs,34.1,80.2,2.93,50,,http://www.fuelly.com/driver/dobs/
2003,Aprilia,SR50,14,Heidilala,37.9,89.1,2.64,50,,http://www.fuelly.com/driver/Heidilala/
1999,Aprilia,SR50 Racing Replica,3,kdemas,24,56.5,4.17,50,,http://www.fuelly.com/driver/kdemas/
1998,Aprilia,SR50 Racing Replica,5,fontesrui,27.8,65.4,3.60,50,,http://www.fuelly.com/driver/fontesrui/
2007,Aprilia,SR50 Racing Replica,2,mfberman,36.9,86.8,2.71,50,,http://www.fuelly.com/driver/mfberman/
2003,Aprilia,SR50 Racing Replica,13,mfberman,38,89.4,2.63,50,,http://www.fuelly.com/driver/mfberman/
2009,Aprilia,SR50R Factory,5,Snugg,25.7,60.5,3.89,50,,http://www.fuelly.com/driver/Snugg/
2009,Aprilia,SR50R Factory,5,tony216,34.2,80.4,2.92,50,,http://www.fuelly.com/driver/tony216/
2009,Aprilia,SR50R Factory,5,jb.,38.5,90.6,2.60,50,,http://www.fuelly.com/driver/jb./
2009,Aprilia,SR50R Factory,2,jeffb.,41,96.4,2.44,50,,http://www.fuelly.com/driver/jeffb./
2012,Aprilia,SRV 850 ABS ATC,15,kemmo,16.7,39.3,5.99,850,,http://www.fuelly.com/driver/kemmo/
2009,Aprilia,SXV 550,11,swerver,9.8,23.1,10.20,550,,http://www.fuelly.com/driver/swerver/
2007,Aprilia,Tuono,7,FloridaMotorSports,10.9,25.6,9.17,,,http://www.fuelly.com/driver/FloridaMotorSports/
2007,Aprilia,Tuono,25,bmarusiak,11,25.9,9.09,,,http://www.fuelly.com/driver/bmarusiak/
2003,Aprilia,Tuono,4,Nick50,11.3,26.6,8.85,,,http://www.fuelly.com/driver/Nick50/
2004,Aprilia,Tuono,26,FredCroot,11.8,27.8,8.47,,,http://www.fuelly.com/driver/FredCroot/
2007,Aprilia,Tuono,7,neilma,12.3,28.9,8.13,,,http://www.fuelly.com/driver/neilma/
2007,Aprilia,Tuono,5,SUPERSTARDJ01,12.9,30.3,7.75,,,http://www.fuelly.com/driver/SUPERSTARDJ01/
2008,Aprilia,Tuono,31,MikeTheBike,13.1,30.8,7.63,,,http://www.fuelly.com/driver/MikeTheBike/
2008,Aprilia,Tuono,5,DefyInertia,13.6,32.0,7.35,,,http://www.fuelly.com/driver/DefyInertia/
2008,Aprilia,Tuono,7,OzPedro,13.9,32.7,7.19,,,http://www.fuelly.com/driver/OzPedro/
2007,Aprilia,Tuono,12,MikeTheBike,13.9,32.7,7.19,,,http://www.fuelly.com/driver/MikeTheBike/
2003,Aprilia,Tuono,8,motorcyclist,14.2,33.4,7.04,,,http://www.fuelly.com/driver/motorcyclist/
2009,Aprilia,Tuono,23,g00gl3it,15,35.3,6.67,,,http://www.fuelly.com/driver/g00gl3it/
2008,Aprilia,Tuono,3,estebon,17.5,41.2,5.71,,,http://www.fuelly.com/driver/estebon/
2007,Aprilia,Tuono,10,07Aprilia,19.2,45.2,5.21,,,http://www.fuelly.com/driver/07Aprilia/
2006,Arqin,V3,16,coma75.,24.7,58.1,4.05,,,http://www.fuelly.com/driver/coma75./
2008,Baja,SC150,20,TrueRollers,29.6,69.6,3.38,150,,http://www.fuelly.com/driver/TrueRollers/
2011,Baja,SC150,7,myspectacularjourney,29.8,70.1,3.36,150,,http://www.fuelly.com/driver/myspectacularjourney/
2013,Baja,SC50,8,wflaw45,34.1,80.2,2.93,50,,http://www.fuelly.com/driver/wflaw45/
2002,Bajaj,150,67,bagel,32.5,76.4,3.08,150,,http://www.fuelly.com/driver/bagel/
2013,Bajaj,Boxer BM100 Classic,5,Sergh,44.7,105.1,2.24,100,,http://www.fuelly.com/driver/Sergh/
