2006,BMW,F650 GS,24.4,57.4,4.1,650,http://www.fuelly.com/driver/existent80/
2009,BMW,F650 GS,24.6,57.9,4.07,650,http://www.fuelly.com/driver/dawidmocke/
2002,BMW,F650 GS,24.7,58.1,4.05,650,http://www.fuelly.com/driver/tessitori/
2003,BMW,F650 GS,25,58.8,4,650,http://www.fuelly.com/driver/SudanBlackB/
2001,BMW,F650 GS,25,58.8,4,650,http://www.fuelly.com/driver/gsbro/
2006,BMW,F650 GS,25.1,59,3.98,650,http://www.fuelly.com/driver/PHC/
2003,BMW,F650 GS,25.6,60.2,3.91,650,http://www.fuelly.com/driver/jcarpino/
2004,BMW,F650 GS,25.7,60.5,3.89,650,http://www.fuelly.com/driver/atomicalex/
2001,BMW,F650 GS,26.1,61.4,3.83,650,http://www.fuelly.com/driver/robertsond/
2006,BMW,F650 GS,26.2,61.6,3.82,650,http://www.fuelly.com/driver/MistaH/
2001,BMW,F650 GS,27.3,64.2,3.66,650,http://www.fuelly.com/driver/astmc/
2004,BMW,F650 GS,28,65.9,3.57,650,http://www.fuelly.com/driver/ar1814/
2007,BMW,F650 GS,28.8,67.7,3.47,650,http://www.fuelly.com/driver/balarsen./
2004,BMW,F650 GS,28.9,68,3.46,650,http://www.fuelly.com/driver/cdarken/
2003,BMW,F650 GS Dakar,16.7,39.3,5.99,650,http://www.fuelly.com/driver/Yetigreenline2/
2002,BMW,F650 GS Dakar,18,42.3,5.56,650,http://www.fuelly.com/driver/Aneug/
2007,BMW,F650 GS Dakar,18.3,43,5.46,650,http://www.fuelly.com/driver/brulpadda/
2003,BMW,F650 GS Dakar,18.8,44.2,5.32,650,http://www.fuelly.com/driver/alexTH3man/
2002,BMW,F650 GS Dakar,19,44.7,5.26,650,http://www.fuelly.com/driver/wvb/
2001,BMW,F650 GS Dakar,20.2,47.5,4.95,650,http://www.fuelly.com/driver/rcrabb/
2004,BMW,F650 GS Dakar,20.5,48.2,4.88,650,http://www.fuelly.com/driver/MrD/
2002,BMW,F650 GS Dakar,21.1,49.6,4.74,650,http://www.fuelly.com/driver/cperda/
2002,BMW,F650 GS Dakar,22.5,52.9,4.44,650,http://www.fuelly.com/driver/K9NSP/
2005,BMW,F650 GS Dakar,22.6,53.2,4.42,650,http://www.fuelly.com/driver/mattewis/
2005,BMW,F650 GS Dakar,22.6,53.2,4.42,650,http://www.fuelly.com/driver/Biesie/
2006,BMW,F650 GS Dakar,23,54.1,4.35,650,http://www.fuelly.com/driver/BeauxEllis/
2005,BMW,F650 GS Dakar,23.1,54.3,4.33,650,http://www.fuelly.com/driver/TomR/
2005,BMW,F650 GS Dakar,23.3,54.8,4.29,650,http://www.fuelly.com/driver/cschoo/
2001,BMW,F650 GS Dakar,23.3,54.8,4.29,650,http://www.fuelly.com/driver/gromit/
2003,BMW,F650 GS Dakar,23.6,55.5,4.24,650,http://www.fuelly.com/driver/ZiLg0/
2002,BMW,F650 GS Dakar,23.7,55.7,4.22,650,http://www.fuelly.com/driver/Cdcharters/
2007,BMW,F650 GS Dakar,23.8,56,4.2,650,http://www.fuelly.com/driver/RSADualPurpose01/
2001,BMW,F650 GS Dakar,23.9,56.2,4.18,650,http://www.fuelly.com/driver/markdixon/
2006,BMW,F650 GS Dakar,24.3,57.2,4.12,650,http://www.fuelly.com/driver/bilgepump/
2006,BMW,F650 GS Dakar,25.7,60.5,3.89,650,http://www.fuelly.com/driver/gnarlyr/
2005,BMW,F650 GS Dakar,26.3,61.9,3.8,650,http://www.fuelly.com/driver/FeejerFiend/
2003,BMW,F650 GS Dakar,27.2,64,3.68,650,http://www.fuelly.com/driver/randydief/
2006,BMW,F650 GS Dakar,27.8,65.4,3.6,650,http://www.fuelly.com/driver/wishbone/
2003,BMW,F650 GS Dakar,27.8,65.4,3.6,650,http://www.fuelly.com/driver/vemsom./
2007,BMW,F650 GS Dakar,28.2,66.3,3.55,650,http://www.fuelly.com/driver/posti66/
2007,BMW,F650 GS Dakar,36.2,85.1,2.76,650,http://www.fuelly.com/driver/frostymonkee/
2003,BMW,F650CS,18.6,43.8,5.38,650,http://www.fuelly.com/driver/LJN/
2001,BMW,F650CS,19.4,45.6,5.15,650,http://www.fuelly.com/driver/ratcliffe/
2004,BMW,F650CS,20.8,48.9,4.81,650,http://www.fuelly.com/driver/StuM/
2003,BMW,F650CS,21.2,49.9,4.72,650,http://www.fuelly.com/driver/Win/
2002,BMW,F650CS,21.3,50.1,4.69,650,http://www.fuelly.com/driver/zecabeloso/
2004,BMW,F650CS,22.3,52.5,4.48,650,http://www.fuelly.com/driver/motoRik/
2003,BMW,F650CS,22.4,52.7,4.46,650,http://www.fuelly.com/driver/jcfoley/
2005,BMW,F650CS,22.8,53.6,4.39,650,http://www.fuelly.com/driver/travatron4000/
2005,BMW,F650CS,23.1,54.3,4.33,650,http://www.fuelly.com/driver/stinkyjones/
2002,BMW,F650CS,23.1,54.3,4.33,650,http://www.fuelly.com/driver/newmann/
2005,BMW,F650CS,23.3,54.8,4.29,650,http://www.fuelly.com/driver/paulmarrington/
2002,BMW,F650CS,24.4,57.4,4.1,650,http://www.fuelly.com/driver/tubular/
2004,BMW,F650CS,24.7,58.1,4.05,650,http://www.fuelly.com/driver/Bluepeppo/
2003,BMW,F650CS,27.2,64,3.68,650,http://www.fuelly.com/driver/xamper/
2005,BMW,F650CS,28.2,66.3,3.55,650,http://www.fuelly.com/driver/yellowf650cs./
2004,BMW,F650CS,28.6,67.3,3.5,650,http://www.fuelly.com/driver/iav8/
2003,BMW,F650CS,33.2,78.1,3.01,650,http://www.fuelly.com/driver/alvaro84/
2012,BMW,F650GS Twin,18.6,43.8,5.38,650,http://www.fuelly.com/driver/Blueboy/
2008,BMW,F650GS Twin,19.9,46.8,5.03,650,http://www.fuelly.com/driver/BlackieF650GS./
2009,BMW,F650GS Twin,20.2,47.5,4.95,650,http://www.fuelly.com/driver/ranalli./
2010,BMW,F650GS Twin,20.3,47.7,4.93,650,http://www.fuelly.com/driver/jossvw/
2010,BMW,F650GS Twin,20.5,48.2,4.88,650,http://www.fuelly.com/driver/wlm2048./
2012,BMW,F650GS Twin,20.8,48.9,4.81,650,http://www.fuelly.com/driver/cadellatorre/
2011,BMW,F650GS Twin,21.1,49.6,4.74,650,http://www.fuelly.com/driver/smrozews/
2010,BMW,F650GS Twin,21.3,50.1,4.69,650,http://www.fuelly.com/driver/sprange/
2008,BMW,F650GS Twin,22.5,52.9,4.44,650,http://www.fuelly.com/driver/ferrol/
2010,BMW,F650GS Twin,22.6,53.2,4.42,650,http://www.fuelly.com/driver/minton82/
2009,BMW,F650GS Twin,22.6,53.2,4.42,650,http://www.fuelly.com/driver/AntonD69/
2010,BMW,F650GS Twin,22.7,53.4,4.41,650,http://www.fuelly.com/driver/JohnHardesty/
2009,BMW,F650GS Twin,23.1,54.3,4.33,650,http://www.fuelly.com/driver/Bomberman./
2008,BMW,F650GS Twin,23.4,55,4.27,650,http://www.fuelly.com/driver/pinballwizard/
2011,BMW,F650GS Twin,23.9,56.2,4.18,650,http://www.fuelly.com/driver/Earwig/
2009,BMW,F650GS Twin,24,56.5,4.17,650,http://www.fuelly.com/driver/motardes04/
2009,BMW,F650GS Twin,24,56.5,4.17,650,http://www.fuelly.com/driver/smoothdurban/
2009,BMW,F650GS Twin,24.5,57.6,4.08,650,http://www.fuelly.com/driver/Brendan/
2010,BMW,F650GS Twin,24.7,58.1,4.05,650,http://www.fuelly.com/driver/ecrampton/
2010,BMW,F650GS Twin,24.9,58.6,4.02,650,http://www.fuelly.com/driver/Kenzie/
2010,BMW,F650GS Twin,25.1,59,3.98,650,http://www.fuelly.com/driver/Kale/
2008,BMW,F650GS Twin,25.1,59,3.98,650,http://www.fuelly.com/driver/AndreDuPreez/
2008,BMW,F650GS Twin,25.2,59.3,3.97,650,http://www.fuelly.com/driver/HTWB/
2010,BMW,F650GS Twin,25.3,59.5,3.95,650,http://www.fuelly.com/driver/koliverson/
2011,BMW,F650GS Twin,25.6,60.2,3.91,650,http://www.fuelly.com/driver/mfm/
2011,BMW,F650GS Twin,25.6,60.2,3.91,650,http://www.fuelly.com/driver/GreatDanes/
2009,BMW,F650GS Twin,25.7,60.5,3.89,650,http://www.fuelly.com/driver/Mistergizmo./
