Year,Make,Model,fuelups,user,KML,kms,CC,Style,url
2010,Honda,CBF125,3,HondaBoy,45.9,137.7,125,,
2011,Honda,PCX,2,qsecofr,45.9,91.8,,,
2007,Genuine,Buddy 125,3,joker219,45.8,137.4,125,,
2011,Honda,CBF125,16,darioosz,45.8,732.8,125,,
2009,Honda,Metropolitan,18,hamstrings,45.8,824.4,,,
2011,Kymco,Agility 50,24,Resolve.,45.8,1099.2,50,,
2005,Tomos,ST,28,ldmuldoon.,45.8,1282.4,,,
1997,Yamaha,XJ6N,1,Gin,45.8,45.8,,,
2010,Honda,PCX,1,vince93,45.7,45.7,,,
2012,KTM,200 Duke,3,kaus,45.6,136.8,200,,http://www.fuelly.com/driver/kaus/200 Duke
2007,Honda,Metropolitan,29,vwgrl1999.,45.5,1319.5,,,
2012,Honda,PCX,15,bsantos01,45.5,682.5,,,
2012,SYM,Symba,17,iamstuffed,45.5,773.5,,,
2012,Honda,PCX,4,AJPINTO,45.4,181.6,,,
2012,Honda,PCX,2,BuzZee,45.4,90.8,,,
2010,SYM,Symba,2,chuckos909,45.4,90.8,,,
2006,Tomos,ST &bull; Gas L4,15,ldmuldoon.,45.4,681,,,
2012,Yamaha,YBR 125,9,badger28,45.3,407.7,125,,
2008,Flyscooters,Il Bello,39,dfly22000.,45.2,1762.8,,,
2007,Honda,CT110X,11,cjb.,45.2,497.2,110,,
1997,Honda,Dream,44,AjMick,45.2,1988.8,,,
2011,Honda,PCX,7,fl1p,45.1,315.7,,,
1999,Triumph,Legend TT 900,5,n5zow,45.1,225.5,900,,
2006,Genuine,Buddy 125,4,rinogo.,45,180,125,,
2011,Honda,PCX,19,Sprinkle,45,855,,,
2005,Schwinn,Graduate 50cc,4,BioPassat,45,180,50,,
2009,Yamaha,Virago 250,3,jbyerscdr.,45,135,250,,
2012,Honda,CBF125,9,Branquinho,44.9,404.1,125,,
2009,Honda,CBF125,1,LaurentDL,44.9,44.9,125,,
2012,Honda,PCX,14,tiagobgarcia,44.9,628.6,,,
1975,Honda,Super Cub,41,joelf,44.9,1840.9,,,
2010,Sachs,MadAss 125,10,GoodTimes,44.9,449,125,,
2009,Tomos,ST,7,lessissmart,44.9,314.3,,,
2008,Yamaha,C3,250,springdew,44.9,11225,50,Scooter,
2008,Genuine,Buddy 125,25,jshill.,44.8,1120,125,,
2011,Honda,CBF125,1,Tunners,44.8,44.8,125,,
2001,Honda,CG125,10,des077,44.8,448,125,,
1995,Honda,Elite 80,9,charlie01,44.8,403.2,80,,
2013,Bajaj,Boxer BM100 Classic,5,Sergh,44.7,223.5,100,,
2009,Genuine,Buddy 150 Blackjack,21,Nerdherder,44.7,938.7,150,,
2012,Honda,PCX,12,Theboybilly,44.7,536.4,,,
2013,Honda,PCX150,2,LAFScooter,44.7,89.4,150,,
2005,Honda,SupraX 125R,4,herywijaya,44.7,178.8,125,,
2006,Genuine,Buddy 125,12,avatarantella,44.6,535.2,125,,
2012,Honda,CBF125,5,olliea95,44.6,223,125,,
2008,Honda,Metropolitan,45,Meresankh,44.6,2007,,,
2012,Honda,PCX,11,Faruk,44.5,489.5,,,
2012,Honda,PCX,9,emrahergene,44.5,400.5,,,
2010,Honda,PCX,5,migelamigo,44.5,222.5,,,
2012,SYM,Symba,6,rsayers,44.5,267,,,
2010,Vespa,GTS 300 Super,15,Nobile,44.5,667.5,300,,
2009,Honda,Metropolitan,59,PacifistRiot,44.4,2619.6,,,
2012,Honda,PCX,1,jon1612,44.4,44.4,,,
2013,Honda,PCX150,4,DreamTheater,44.4,177.6,150,,
2012,Jonway,yy50qt,23,infinitemass,44.4,1021.2,50,,
2012,Suzuki,GS 150R,13,SrijitChatterjee,44.4,577.2,150,,
2011,Honda,CBF125,9,vitalig,44.3,398.7,125,,
2008,Honda,Wave 125S &bull; Gas L1,13,SeNnDoh,44.3,575.9,125,,
2010,SYM,Symba,43,LisaRae,44.3,1904.9,,,
2009,Yamaha,C3,7,mng1491,44.3,310.1,50,Scooter,
2009,Yamaha,Zuma 125,13,Boondog,44.3,575.9,125,,
2008,Genuine,Buddy 125,3,kookaburra02.,44.2,132.6,125,,
2009,Honda,CBF125,6,mariusenslin,44.2,265.2,125,,
2008,Honda,CRF230L,97,dlallen,44.2,4287.4,230,,
2012,Honda,PCX,16,arechp,44.2,707.2,,,
2011,Honda,PCX,15,IvoSousaNunes,44.2,663,,,
2006,Vespa,GT200,2,jordanstr8.,44.2,88.4,200,,
2011,Vespa,LX 50 2V,4,JimSon,44.2,176.8,50,,
2009,Honda,CBF125,21,growse,44.1,926.1,125,,
2011,Honda,CBR250R,1,Shinkansen,44.1,44.1,250,,
2012,Honda,PCX150,6,FritzPinguin,44.1,264.6,150,,
2010,Honda,S-Wing 125,14,Leanto1961,44.1,617.4,125,,
2011,Suzuki,Fx125,4,adityab,44.1,176.4,125,,
2010,SYM,Symba,82,traumverloren,44.1,3616.2,,,
2007,Yamaha,YBR125,5,alexjar,44.1,220.5,125,,
2010,Genuine,Buddy 125,2,TheLett,44,88,125,,
2012,Honda,CBF125,3,10w60,44,132,125,,
2009,Honda,Metropolitan,80,twowheeler,44,3520,,,
2012,Honda,PCX,1,fths,44,44,,,
2011,Honda,PCX,3,nuninf,44,132,,,
2010,Kymco,Agility 50,2,Bradders2125,44,88,50,,
2005,Kymco,People 250,43,lmac00,44,1892,250,,
2010,Yamaha,LC135,5,kamenrider14,44,220,350,,
2008,BMW,F800S,5,Koevoet,43.9,219.5,800,,
2008,Genuine,Buddy 125,181,scootinnanny,43.9,7945.9,125,,
2007,Genuine,Buddy 125,3,suekane,43.8,131.4,125,,
2009,Honda,CBF125,5,malcs,43.8,219,125,,
2011,Honda,PCX,12,mmatos1972,43.8,525.6,,,
2008,Honda,SupraX 125R,13,sliverz,43.8,569.4,125,,
2011,Jonway,yy50qt,6,donbaker55,43.7,262.2,50,,
